x y z
1.0 0.375 1101.708021304399
1.0 0.4375 1105.8219974970339
1.0 0.5 1110.3026028960494
1.0 0.5625 1115.0601673014887
1.0 0.625 1120.0329497490916
1.0 0.6875 1125.1764830838547
1.0 0.75 1130.4575714520822
1.0 0.8125 1135.8506961896067
1.0 0.875 1141.3357554248357
1.0 0.9375 1146.8965837546134
1.0 1.0 1152.5199492824404
1.0 1.0625 1158.1948541192246
1.0 1.125 1163.9120341820515
1.0 1.1875 1169.6635936216906
1.0 1.25 1175.442732462394
1.0 1.3125 1181.2435401971345
1.0 1.375 1187.0608369630095
1.0 1.4375 1192.8900496404647
1.0 1.5 1198.727113989693
1.0 1.5625 1204.5683964752347
1.0 1.625 1210.4106311707524
1.0 1.6875 1216.2508683512208
1.0 1.75 1222.0864322414584
1.0 1.8125 1227.9148860097775
1.0 1.875 1233.7340025474666
1.0 1.9375 1239.5417399082694
1.0 2.0 1245.3362205309188

1.0625 0.0625 1100.4870763017711
1.0625 0.125 1094.99109778377
1.0625 0.1875 1094.6745383480538
1.0625 0.25 1096.4768952735285
1.0625 0.3125 1099.4375921163487
1.0625 0.375 1103.1276884259719
1.0625 0.4375 1107.3175421059868
1.0625 0.5 1111.8694135834653
1.0625 0.5625 1116.6939173016626
1.0625 0.625 1121.7295735989042
1.0625 0.6875 1126.9321556839668
1.0625 0.75 1132.2686892385052
1.0625 0.8125 1137.7138601648323
1.0625 0.875 1143.2477558319802
1.0625 0.9375 1148.8543862069955
1.0625 1.0 1154.5206821856232
1.0625 1.0625 1160.2357972434938
1.0625 1.125 1165.9906082612606
1.0625 1.1875 1171.7773508697167
1.0625 1.25 1177.589347911709
1.0625 1.3125 1183.4208037753745
1.0625 1.375 1189.2666462332993
1.0625 1.4375 1195.1224031398015
1.0625 1.5 1200.9841051071496
1.0625 1.5625 1206.8482078182215
1.0625 1.625 1212.7115293732513
1.0625 1.6875 1218.5711992828735
1.0625 1.75 1224.4246165807535
1.0625 1.8125 1230.2694151484254
1.0625 1.875 1236.1034347964312
1.0625 1.9375 1241.9246969789162
1.0625 2.0 1247.7313842674

1.125 0.0625 1101.6461923730246
1.125 0.125 1096.2409117922034
1.125 0.1875 1096.0095706681184
1.125 0.25 1097.892022556082
1.125 0.3125 1100.9280163311757
1.125 0.375 1104.6889092701126
1.125 0.4375 1108.9453323452638
1.125 0.5 1113.5597969586436
1.125 0.5625 1118.4431486840356
1.125 0.625 1123.5341211246957
1.125 0.6875 1128.7886846344672
1.125 0.75 1134.1740474644357
1.125 0.8125 1139.6650648802486
1.125 0.875 1145.241981625744
1.125 0.9375 1150.888954139261
1.125 1.0 1156.5930498533894
1.125 1.0625 1162.343549713512
1.125 1.125 1168.1314497808567
1.125 1.1875 1173.9490972767012
1.125 1.25 1179.7899196736817
1.125 1.3125 1185.648219596738
1.125 1.375 1191.5190171752072
1.125 1.4375 1197.3979272043118
1.125 1.5 1203.2810622421887
1.125 1.5625 1209.1649553045436
1.125 1.625 1215.046497558712
1.125 1.6875 1220.9228876329187
1.125 1.75 1226.7915900171745
1.125 1.8125 1232.6503006512612
1.125 1.875 1238.496918246376
1.125 1.9375 1244.3295202198035
1.125 2.0 1250.1463423702899

1.1875 0.0625 1102.9795739507774
1.1875 0.125 1097.6535213148027
1.1875 0.1875 1097.4967432155279
1.1875 0.25 1099.4493775347319
1.1875 0.3125 1102.5514342406207
1.1875 0.375 1106.3745108618662
1.1875 0.4375 1110.6894598820213
1.1875 0.5 1115.3589973231656
1.1875 0.5625 1120.2941581215412
1.1875 0.625 1125.4338514317803
1.1875 0.6875 1130.734210632225
1.1875 0.75 1136.1625956145426
1.1875 0.8125 1141.6940029206125
1.1875 0.875 1147.3088091177403
1.1875 0.9375 1152.9912938317157
1.1875 1.0 1158.7286397798466
1.1875 1.0625 1164.5102359491548
1.1875 1.125 1170.3271797939158
1.1875 1.1875 1176.1719138166293
1.1875 1.25 1182.0379551447716
1.1875 1.3125 1187.9196908715196
1.1875 1.375 1193.8122208068494
1.1875 1.4375 1199.7112350016234
1.1875 1.5 1205.61291717456
1.1875 1.5625 1211.5138677075834
1.1875 1.625 1217.4110416142464
1.1875 1.6875 1223.301698099659
1.1875 1.75 1229.1833591906916
1.1875 1.8125 1235.0537755339615
1.1875 1.875 1240.9108979100126
1.1875 1.9375 1246.7528533447105
1.1875 2.0 1252.5779249469708

1.25 0.0625 1104.4653870526054
1.25 0.125 1099.2087635983669
1.25 0.1875 1099.1174101035374
1.25 0.25 1101.1316937111912
1.25 0.3125 1104.2918360074848
1.25 0.375 1108.1696302205098
1.25 0.4375 1112.5361101392928
1.25 0.5 1117.2541600487386
1.25 0.5625 1122.2349713060555
1.25 0.625 1127.4175987146475
1.25 0.6875 1132.7583114845654
1.25 0.75 1138.2245963768553
1.25 0.8125 1143.7915686070062
1.25 0.875 1149.4397159090217
1.25 0.9375 1155.1534221887548
1.25 1.0 1160.9199681164803
1.25 1.0625 1166.7288348107486
1.25 1.125 1172.5712064936852
1.25 1.1875 1178.4396074870242
1.25 1.25 1184.327632165808
1.25 1.3125 1190.2297406419425
1.25 1.375 1196.1411018275724
1.25 1.4375 1202.0574712439793
1.25 1.5 1207.9750947086677
1.25 1.5625 1213.8906315685679
1.25 1.625 1219.8010928862334
1.25 1.6875 1225.7037911993627
1.25 1.75 1231.596299334159
1.25 1.8125 1237.4764163715552
1.25 1.875 1243.3421393160947
1.25 1.9375 1249.1916393496817
1.25 2.0 1255.0232418004898

1.3125 0.0625 1106.084944128698
1.3125 0.125 1100.8893156511028
1.3125 0.1875 1100.8554932683253
1.3125 0.25 1102.9240307279574
1.3125 0.3125 1106.135322680318
1.3125 0.375 1110.0613231371901
1.3125 0.4375 1114.473215511204
1.3125 0.5 1119.2340235495824
1.3125 0.5625 1124.2550688030944
1.3125 0.625 1129.4755277993115
1.3125 0.6875 1134.8517837205352
1.3125 0.75 1140.3514301934151
1.3125 0.8125 1145.949682773924
1.3125 0.875 1151.6271235364277
1.3125 0.9375 1157.3682252018846
1.3125 1.0 1163.1603521606467
1.3125 1.0625 1168.9930645467555
1.3125 1.125 1174.8576212481128
1.3125 1.1875 1180.7466172255606
1.3125 1.25 1186.6537137610624
1.3125 1.3125 1192.5734344100756
1.3125 1.375 1198.5010083106356
1.3125 1.4375 1204.4322482171149
1.3125 1.5 1210.3634543933572
1.3125 1.5625 1216.2913380348862
1.3125 1.625 1222.2129596286607
1.3125 1.6875 1228.125678872167
1.3125 1.75 1234.0271136335973
1.3125 1.8125 1239.915106053306
1.3125 1.875 1245.787694337365
1.3125 1.9375 1251.643089126348
1.3125 2.0 1257.479653570465

1.375 0.0625 1107.8221328130937
1.375 0.125 1102.6801903848934
1.375 0.1875 1102.6970370637764
1.375 0.25 1104.8133797927906
1.375 0.3125 1108.069755927564
1.375 0.375 1112.0382526262752
1.375 0.4375 1116.4901777216578
1.375 0.5 1121.2886714009258
1.375 0.5625 1126.345164344867
1.375 0.625 1131.5989355042348
1.375 0.6875 1137.0064643215428
1.375 0.75 1142.5354350120767
1.375 0.8125 1148.16114849362
1.375 0.875 1153.8642673787758
1.375 0.9375 1159.629340469388
1.375 1.0 1165.4438041124517
1.375 1.0625 1171.2972865778672
1.375 1.125 1177.1811113454514
1.375 1.1875 1183.0879346769052
1.375 1.25 1189.0114760953397
1.375 1.3125 1194.9463145495106
1.375 1.375 1200.8877319171818
1.375 1.4375 1206.8315912172407
1.375 1.5 1212.774240666724
1.375 1.5625 1218.712437253813
1.375 1.625 1224.6432852364435
1.375 1.6875 1230.5641861893735
1.375 1.75 1236.4727980824262
1.375 1.8125 1242.3670014909671
1.375 1.875 1248.244871490192
1.375 1.9375 1254.104654117072
1.375 2.0 1259.944746531697

1.4375 0.0625 1109.6629689543174
1.4375 0.125 1104.568340009347
1.4375 0.1875 1104.6298556478212
1.4375 0.25 1106.7883495797416
1.4375 0.3125 1110.084477731528
1.4375 0.375 1114.0904383317716
1.4375 0.4375 1118.5776434084194
1.4375 0.5 1123.409331031588
1.4375 0.5625 1128.4970239605195
1.4375 0.625 1133.7800878790438
1.4375 0.6875 1139.215084033114
1.4375 0.75 1144.769773888979
1.4375 0.8125 1150.4195314056192
1.4375 0.875 1156.1450883390178
1.4375 0.9375 1161.9310590208956
1.4375 1.0 1167.7649419741956
1.4375 1.0625 1173.6364245280872
1.4375 1.125 1179.5368863221634
1.4375 1.1875 1185.4590370774379
1.4375 1.25 1191.3966472584948
1.4375 1.3125 1197.3443444054976
1.4375 1.375 1203.2974567918222
1.4375 1.4375 1209.2518917782
1.4375 1.5 1215.2040400006156
1.4375 1.5625 1221.1506990640005
1.4375 1.625 1227.0890121522693
1.4375 1.6875 1233.016418178335
1.4375 1.75 1238.9306109575414
1.4375 1.8125 1244.8295055062301
1.4375 1.875 1250.7112100175727
1.4375 1.9375 1256.5740023991136
1.4375 2.0 1262.4163105041782

1.5 0.0625 1111.5952428204737
1.5 0.125 1106.5423403892773
1.5 0.1875 1106.6432508801863
1.5 0.25 1108.8389136724454
1.5 0.3125 1112.1700839091238
1.5 0.375 1116.209053107929
1.5 0.4375 1120.727321132224
1.5 0.5 1125.5882088622984
1.5 0.5625 1130.7033172304768
1.5 0.625 1136.0120858088342
1.5 0.6875 1141.4711457669616
1.5 0.75 1147.0483248217251
1.5 0.8125 1152.7190597756087
1.5 0.875 1158.464142063847
1.5 0.9375 1164.2682427552643
1.5 1.0 1170.1189143711704
